Delay,Execution_Time_sec,Execution_Time_sec_STDV,Execution_Time_sec_COV,NUM_SAMPLES,L2_TCA,L2_TCA_STDV,L2_TCA_XCOV,L2_TCM,L2_TCM_STDV,L2_TCM_XCOV,L3_TCA,L3_TCA_STDV,L3_TCA_XCOV,L3_TCM,L3_TCM_STDV,L3_TCM_XCOV,OS_Threads,OS_Threads_STDV,OS_Threads_XCOV,STasks,STasks_STDV,STasks_XCOV,TOT_CYC,TOT_CYC_STDV,TOT_CYC_XCOV,TOT_INS,TOT_INS_STDV,TOT_INS_XCOV,Tasks,Tasks_STDV,Tasks_XCOV,Warmup_sec,Warmup_sec_STDV,Warmup_sec_XCOV,cumulative,cumulative_STDV,cumulative_XCOV,idle_rate,idle_rate_STDV,idle_rate_XCOV,objects,objects_STDV,objects_XCOV,pending_accesses,pending_accesses_STDV,pending_accesses_XCOV,pending_misses,pending_misses_STDV,pending_misses_XCOV,phase_duration,phase_duration_STDV,phase_duration_XCOV,phase_overhead,phase_overhead_STDV,phase_overhead_XCOV,phases,phases_STDV,phases_XCOV,resident,resident_STDV,resident_XCOV,stack_recycles,stack_recycles_STDV,stack_recycles_XCOV,stack_unbinds,stack_unbinds_STDV,stack_unbinds_XCOV,stolen_from_pending,stolen_from_pending_STDV,stolen_from_pending_XCOV,stolen_from_staged,stolen_from_staged_STDV,stolen_from_staged_XCOV,stolen_to_pending,stolen_to_pending_STDV,stolen_to_pending_XCOV,stolen_to_staged,stolen_to_staged_STDV,stolen_to_staged_XCOV,task_duration,task_duration_STDV,task_duration_XCOV,task_overhead,task_overhead_STDV,task_overhead_XCOV,virtual,virtual_STDV,virtual_XCOV
1,3.858582329,0.015756272,0.00408,10,567731905,2954679.69040,0.00520,361743625,2123323.81970,0.00587,361838143,2218304.93507,0.00613,121333235,1411541.21495,0.01163,16,0.00000,0.00000,0,0.00000,,194544052151,1103555710.40710,0.00567,77842666780,404413018.38192,0.00520,10000000,0.00000,0.00000,1.467323588,0.010303796,0.00702,9372631,50928.49029,0.00543,4405,17.81042,0.00404,3183,0.97183,0.00031,18940061,102809.04637,0.00543,9610940,47080.92765,0.00490,3644,84.34611,0.02314,2870,68.47416,0.02385,9373325,50900.76483,0.00543,1321039052,220390.76856,0.00017,9370007,50880.99079,0.00543,47847,2708.96179,0.05662,44431,9356.82243,0.21059,9787,4798.91146,0.49029,44472,9375.87650,0.21083,9797,4790.73389,0.48896,3644,84.39096,0.02316,2870,68.51934,0.02387,1581449216,499521.71240,0.00032
2,2.018734096,0.008488110,0.00420,10,289896136,1905191.96461,0.00657,183484678,1729752.66220,0.00943,183454657,1688463.78538,0.00920,58729198,857672.63845,0.01460,16,0.00000,0.00000,0,0.00000,,101457899088,494148460.68184,0.00487,62116941570,271539512.13400,0.00437,5000000,0.00000,0.00000,0.733739039,0.005724091,0.00780,4866575,23762.42777,0.00488,3077,21.04915,0.00684,3183,1.41814,0.00045,9837825,47972.58071,0.00488,4994728,22231.97533,0.00445,4572,14.82828,0.00324,2033,22.14222,0.01089,4867304,23745.41148,0.00488,677113856,133370.07622,0.00020,4863937,23682.56027,0.00487,25473,2182.82412,0.08569,24114,8389.87222,0.34791,3403,2415.12003,0.70952,24116,8390.33996,0.34792,3403,2415.12003,0.70952,4573,15.04216,0.00329,2033,22.25633,0.01094,937578905,19543.82983,0.00002
4,1.247140641,0.006432806,0.00516,10,144506181,680892.87467,0.00471,89561512,608403.61565,0.00679,89476772,655189.39121,0.00732,26152647,665473.00266,0.02545,16,0.00000,0.00000,0,0.00000,,62577344890,297791597.77739,0.00476,54096617900,169918590.40947,0.00314,2500000,0.00000,0.00000,0.367570383,0.002368343,0.00644,2487585,8949.97508,0.00360,1849,22.34676,0.01208,3183,1.49071,0.00047,5032244,18095.19644,0.00360,2553929,11401.38144,0.00446,6510,7.78959,0.00120,1477,22.31815,0.01511,2488273,8947.31118,0.00360,355070361,49358.26351,0.00014,2484806,8840.07506,0.00356,13121,1051.26559,0.08012,10032,3602.62306,0.35911,776,527.43683,0.67925,10037,3610.34730,0.35969,827,592.08742,0.71525,6511,7.69488,0.00118,1477,22.28727,0.01508,615476428,16246.89299,0.00003
5,1.119438199,0.004575488,0.00409,10,115710847,421670.41808,0.00364,71055940,456074.36333,0.00642,71048544,451630.90885,0.00636,20458021,494193.13809,0.02416,16,0.00000,0.00000,0,0.00000,,56243095557,175619034.36807,0.00312,52231756130,84592986.08372,0.00162,2000000,0.00000,0.00000,0.294251624,0.002984113,0.01014,1995852,4179.61815,0.00209,1618,31.16783,0.01925,3183,1.26491,0.00040,4039088,8799.88753,0.00218,2051365,5952.60263,0.00290,7482,19.84495,0.00265,1445,33.55079,0.02322,1996536,4184.59549,0.00210,290537881,165317.56849,0.00057,1992904,4054.00271,0.00203,10221,696.96616,0.06819,8848,2299.72269,0.25991,882,356.94967,0.40434,8849,2299.90852,0.25988,882,356.94967,0.40434,7484,19.82171,0.00265,1445,33.41340,0.02312,551053721,6461.93674,0.00001
8,0.935140175,0.002904298,0.00311,10,72859931,379971.87403,0.00522,44190400,302719.71133,0.00685,44183805,352226.96937,0.00797,12200804,407350.99595,0.03339,16,0.00000,0.00000,0,0.00000,,47176726736,129299287.16835,0.00274,49492663214,26430965.52333,0.00053,1250000,0.00000,0.00000,0.185216991,0.001765168,0.00953,1248731,1688.11548,0.00135,1210,25.67662,0.02121,3184,0.42164,0.00013,2529528,3518.97530,0.00139,1285026,2209.03829,0.00172,10479,18.75130,0.00179,1443,33.85672,0.02345,1249407,1695.52915,0.00136,193882112,179189.27206,0.00092,1245740,1606.30255,0.00129,6227,212.67714,0.03415,4967,1072.75469,0.21597,524,271.41369,0.51747,4972,1071.45231,0.21548,527,273.70422,0.51936,10485,18.95492,0.00181,1444,33.71383,0.02334,453960089,5935.66792,0.00001
10,0.874743524,0.002361851,0.00270,10,58561455,238913.92594,0.00408,35279122,294024.18113,0.00833,35344862,190144.94772,0.00538,9443012,272071.79782,0.02881,16,0.00000,0.00000,0,0.00000,,44225097116,73729636.49566,0.00167,48502102266,47777821.95609,0.00099,1000000,0.00000,0.00000,0.148128031,0.002633757,0.01778,998578,1334.31779,0.00134,1061,17.85622,0.01682,3183,0.99443,0.00031,2024094,2703.35973,0.00134,1028437,1742.98709,0.00169,12382,274.33113,0.02215,1471,44.13867,0.03001,999236,1328.14999,0.00133,161715404,75131.80106,0.00046,995653,1237.88819,0.00124,5122,351.17240,0.06855,3612,1306.64352,0.36167,271,291.31129,1.07257,3613,1306.36077,0.36150,271,291.31129,1.07257,12391,274.43680,0.02215,1471,44.08439,0.02995,422215270,8731.73099,0.00002
20,0.759162223,0.001557847,0.00205,10,30799309,135940.09206,0.00441,18168489,117627.12780,0.00647,18164798,123488.14001,0.00680,4592849,99296.22937,0.02162,16,0.00000,0.00000,0,0.00000,,38588102576,36242556.61527,0.00094,46589299123,20048052.35829,0.00043,500000,0.00000,0.00000,0.074933444,0.000950614,0.01269,499760,498.05310,0.00100,738,15.26397,0.02068,3183,0.99443,0.00031,1016703,877.56877,0.00086,518435,737.15956,0.00142,22383,21.04070,0.00094,1784,40.77036,0.02285,500454,520.32960,0.00104,97184563,150831.33398,0.00155,496721,411.06507,0.00083,2635,155.61634,0.05906,2231,448.39045,0.20098,170,65.17063,0.38134,2232,450.71387,0.20185,175,74.07571,0.42112,22414,20.49499,0.00091,1786,40.24771,0.02253,357925683,12027.33905,0.00003
25,0.737749793,0.002867459,0.00389,10,25288556,234959.68145,0.00929,14849377,164833.77937,0.01110,14823015,135182.81633,0.00912,3682254,58801.57165,0.01597,16,0.00000,0.00000,0,0.00000,,37467288000,47327457.33451,0.00126,46224863700,11229550.80128,0.00024,400000,0.00000,0.00000,0.060030830,0.000579419,0.00965,399373,519.90854,0.00130,687,36.93839,0.05377,3183,0.78881,0.00025,813774,1167.11137,0.00143,415378,930.61283,0.00224,27342,30.28916,0.00111,2017,117.83152,0.05841,400047,477.01661,0.00119,84291993,239704.08865,0.00284,396471,380.02791,0.00096,2150,144.23499,0.06706,1694,346.21671,0.20434,142,82.52468,0.57750,1692,345.02567,0.20387,132,79.49347,0.59814,27389,30.67844,0.00112,2020,118.41926,0.05861,344564531,540488.54531,0.00157
40,0.705635031,0.005280940,0.00748,10,16997878,175538.87977,0.01033,9779087,155539.20028,0.01591,9754665,123238.55263,0.01263,2361907,66001.81889,0.02794,16,0.00000,0.00000,0,0.00000,,35877449053,70202726.60778,0.00196,45643377216,14419424.67138,0.00032,250000,0.00000,0.00000,0.038396251,0.000760534,0.01981,249674,419.16923,0.00168,599,68.61454,0.11451,3183,1.70294,0.00053,511465,979.57349,0.00192,262363,716.23771,0.00273,42188,38.54809,0.00091,2690,328.25263,0.12200,250344,430.69582,0.00172,64940032,167321.58607,0.00258,246731,321.10677,0.00130,1443,158.19594,0.10957,1262,267.68356,0.21204,97,111.25591,1.14579,1262,266.59132,0.21114,97,111.25591,1.14579,42302,36.26998,0.00086,2698,329.47077,0.12211,325122867,9270.20111,0.00003
50,0.692680669,0.005061735,0.00731,10,14235819,145505.25993,0.01022,8201725,162180.18729,0.01977,8209423,180638.25612,0.02200,1900546,52116.45366,0.02742,16,0.00000,0.00000,0,0.00000,,35343700136,35222230.38933,0.00100,45439862285,37775312.12139,0.00083,200000,0.00000,0.00000,0.030939599,0.000486785,0.01573,199925,232.31322,0.00116,529,60.90831,0.11501,3184,0.51640,0.00016,411710,864.24822,0.00210,212350,810.22439,0.00382,52078,71.55386,0.00137,2911,357.51637,0.12278,200611,241.63887,0.00120,58485555,138081.71613,0.00236,196925,127.93927,0.00065,1122,45.19144,0.04026,1293,187.67809,0.14506,102,57.69652,0.56565,1293,187.05662,0.14465,102,57.69652,0.56565,52260,65.89251,0.00126,2920,358.02081,0.12260,318835097,14083.46462,0.00004
