Delay,Execution_Time_sec,Execution_Time_sec_STDV,Execution_Time_sec_COV,NUM_SAMPLES,L2_TCA,L2_TCA_STDV,L2_TCA_XCOV,L2_TCM,L2_TCM_STDV,L2_TCM_XCOV,L3_TCA,L3_TCA_STDV,L3_TCA_XCOV,L3_TCM,L3_TCM_STDV,L3_TCM_XCOV,OS_Threads,OS_Threads_STDV,OS_Threads_XCOV,STasks,STasks_STDV,STasks_XCOV,TOT_CYC,TOT_CYC_STDV,TOT_CYC_XCOV,TOT_INS,TOT_INS_STDV,TOT_INS_XCOV,Tasks,Tasks_STDV,Tasks_XCOV,Warmup_sec,Warmup_sec_STDV,Warmup_sec_XCOV,cumulative,cumulative_STDV,cumulative_XCOV,idle_rate,idle_rate_STDV,idle_rate_XCOV,objects,objects_STDV,objects_XCOV,pending_accesses,pending_accesses_STDV,pending_accesses_XCOV,pending_misses,pending_misses_STDV,pending_misses_XCOV,phase_duration,phase_duration_STDV,phase_duration_XCOV,phase_overhead,phase_overhead_STDV,phase_overhead_XCOV,phases,phases_STDV,phases_XCOV,resident,resident_STDV,resident_XCOV,stack_recycles,stack_recycles_STDV,stack_recycles_XCOV,stack_unbinds,stack_unbinds_STDV,stack_unbinds_XCOV,stolen_from_pending,stolen_from_pending_STDV,stolen_from_pending_XCOV,stolen_from_staged,stolen_from_staged_STDV,stolen_from_staged_XCOV,stolen_to_pending,stolen_to_pending_STDV,stolen_to_pending_XCOV,stolen_to_staged,stolen_to_staged_STDV,stolen_to_staged_XCOV,task_duration,task_duration_STDV,task_duration_XCOV,task_overhead,task_overhead_STDV,task_overhead_XCOV,virtual,virtual_STDV,virtual_XCOV
1,6.495474713,0.080394377,0.01238,10,442383671,2766044.08538,0.00625,235189967,3111206.08266,0.01323,235195665,3109174.80192,0.01322,68313005,7038033.28289,0.10303,4,0.00000,0.00000,0,0.00000,,88845183681,1166821291.12888,0.01313,82020321809,282183280.31499,0.00344,10000000,0.00000,0.00000,1.567828507,0.025189038,0.01607,9982683,26729.71184,0.00268,3217,41.09934,0.01277,781,1.68655,0.00216,20165993,54334.12426,0.00269,10228057,34228.81757,0.00335,1758,20.53858,0.01168,834,19.18593,0.02300,9982848,26730.92452,0.00268,1306890649,1532762.20382,0.00117,9982001,26694.30645,0.00267,219446,13776.62741,0.06278,44968,21691.93207,0.48238,6313,2721.96007,0.43115,44974,21687.42130,0.48222,6303,2704.99208,0.42915,1758,20.53858,0.01168,834,19.18593,0.02300,1463692902,1623731.47085,0.00111
2,4.440227792,0.031983957,0.00720,10,220531321,2549535.86196,0.01156,116716110,2544724.99733,0.02180,116719272,2546382.92268,0.02182,30543353,3156299.65260,0.10334,4,0.00000,0.00000,0,0.00000,,61578224321,469058564.28546,0.00762,65466396474,194769324.33191,0.00298,5000000,0.00000,0.00000,0.781380586,0.016621059,0.02127,4996013,11171.37654,0.00224,2258,33.58306,0.01487,780,2.59058,0.00332,10093038,22821.19324,0.00226,5107978,12843.21795,0.00251,2740,19.77541,0.00722,799,16.54757,0.02069,4996175,11164.30874,0.00223,663575347,286329.96455,0.00043,4995318,11002.25274,0.00220,114297,12414.46169,0.10862,11138,6448.31989,0.57890,3463,2941.92496,0.84953,11146,6468.83809,0.58036,3463,2941.92496,0.84953,2740,19.82283,0.00723,799,16.54757,0.02069,820561100,437158.54073,0.00053
4,3.456810561,0.021039365,0.00609,10,110287849,1211839.95425,0.01099,57888548,1282616.01809,0.02216,57891955,1279854.15168,0.02211,15290154,1768559.38521,0.11567,4,0.00000,0.00000,0,0.00000,,48550376865,293318014.48653,0.00604,57126632218,56948570.80246,0.00100,2500000,0.00000,0.00000,0.391475923,0.009506446,0.02428,2499427,1953.05830,0.00078,1389,31.72101,0.02284,781,1.89737,0.00243,5049980,4175.57657,0.00083,2556666,5748.57756,0.00225,4744,20.63681,0.00435,765,21.07763,0.02754,2499585,1934.15656,0.00077,341582233,52434.84410,0.00015,2498698,1834.15869,0.00073,55591,2799.39291,0.05036,6281,5171.66623,0.82330,1711,1605.41393,0.93824,6280,5170.97008,0.82335,1721,1596.62717,0.92768,4745,20.56534,0.00433,765,21.07763,0.02754,498684723,91564.91728,0.00018
5,3.261673272,0.008051357,0.00247,10,87840348,613885.31865,0.00699,45967036,916645.91919,0.01994,45966815,916244.74280,0.01993,11739146,741784.77424,0.06319,4,0.00000,0.00000,0,0.00000,,45982164399,115405811.03036,0.00251,55472145186,12167867.05923,0.00022,2000000,0.00000,0.00000,0.316943904,0.004405408,0.01390,2000045,1.95789,0.00000,1171,17.73133,0.01513,780,2.07900,0.00267,4041236,222.23634,0.00005,2043795,1048.51639,0.00051,5735,16.98234,0.00296,761,12.02266,0.01580,2000204,35.92585,0.00002,277155840,39334.87183,0.00014,1999278,3.65148,0.00000,46523,3752.18310,0.08065,2782,1151.23732,0.41373,841,694.36171,0.82544,2781,1151.05299,0.41377,841,694.36171,0.82544,5735,16.98660,0.00296,761,11.97961,0.01574,434242355,57887.55718,0.00013
8,2.970141588,0.005425789,0.00183,10,55283362,637811.94710,0.01154,28854161,598717.08805,0.02075,28855063,597613.12623,0.02071,7001087,663246.79487,0.09473,4,0.00000,0.00000,0,0.00000,,42125675808,58806931.03726,0.00140,52950608093,5913393.02327,0.00011,1250000,0.00000,0.00000,0.195550520,0.002669569,0.01365,1250047,1.28668,0.00000,788,13.37535,0.01697,781,1.26491,0.00162,2526338,130.98329,0.00005,1277487,687.57338,0.00054,8816,302.40975,0.03430,754,27.69697,0.03672,1250226,39.09874,0.00003,180468121,20814.05775,0.00012,1249278,3.92287,0.00000,27861,2421.10293,0.08690,1396,745.52181,0.53370,432,335.53488,0.77509,1396,746.20384,0.53445,432,335.53488,0.77509,8817,302.37129,0.03429,754,27.85299,0.03691,337337139,662480.92211,0.00196
10,2.877985383,0.002781618,0.00097,10,44065666,431363.27116,0.00979,22872576,361001.54856,0.01578,22874437,359061.68031,0.01570,5784689,433462.56992,0.07493,4,0.00000,0.00000,0,0.00000,,40906254086,42242330.78753,0.00103,52105445045,8647045.71379,0.00017,1000000,0.00000,0.00000,0.157522325,0.002641055,0.01677,1000046,1.39841,0.00000,650,8.40965,0.01293,781,2.41293,0.00309,2021355,248.16536,0.00012,1021890,543.75772,0.00053,10959,507.37583,0.04629,763,35.91966,0.04708,1000218,23.60414,0.00002,148254310,23762.29209,0.00016,999279,3.68782,0.00000,22048,2520.75562,0.11433,771,489.60425,0.63428,161,255.03998,1.57919,770,489.12466,0.63490,161,255.03998,1.57919,10961,507.58618,0.04631,763,35.91966,0.04708,305394073,42323.13113,0.00014
20,2.688096813,0.002391937,0.00089,10,22457132,312971.86178,0.01394,11575566,313654.56853,0.02710,11576520,313882.49145,0.02711,2898967,181160.74468,0.06249,4,0.00000,0.00000,0,0.00000,,38416855098,26693019.04552,0.00069,50378109032,2963381.00165,0.00006,500000,0.00000,0.00000,0.079184171,0.001706072,0.02155,500045,1.52388,0.00000,345,7.03641,0.02035,781,1.76383,0.00226,1011174,128.81033,0.00013,511222,158.30631,0.00031,20675,18.36664,0.00089,741,15.67163,0.02114,500203,32.91892,0.00007,83781632,30422.73957,0.00036,499277,3.26599,0.00001,11490,887.85140,0.07727,270,124.32913,0.46014,41,51.82031,1.25473,270,124.57666,0.46088,41,51.82031,1.25473,20681,18.59062,0.00090,741,15.58668,0.02102,240233676,528885.79515,0.00220
25,2.652058748,0.000875913,0.00033,10,18304871,259800.39666,0.01419,9487143,247346.85126,0.02607,9487705,245876.47860,0.02592,2236620,164386.78051,0.07350,4,0.00000,0.00000,0,0.00000,,37946381739,16943688.12804,0.00045,50050184207,3484086.58873,0.00007,400000,0.00000,0.00000,0.063933364,0.001012042,0.01583,400045,0.69921,0.00000,283,6.30344,0.02226,780,2.16282,0.00277,809131,142.38071,0.00018,409168,177.46176,0.00043,25659,19.69800,0.00077,748,16.61459,0.02219,400220,29.13970,0.00007,70883328,26209.42175,0.00037,399279,3.01109,0.00001,9349,789.28939,0.08442,278,107.19743,0.38450,13,31.85401,2.39504,278,107.88724,0.38794,13,31.85401,2.39504,25671,19.55874,0.00076,749,16.39410,0.02189,227368550,96513.71269,0.00042
40,2.596325786,0.002467150,0.00095,10,11728480,231326.25838,0.01972,6022702,223434.51847,0.03710,6021494,222049.67248,0.03688,1413550,84074.31624,0.05948,4,0.00000,0.00000,0,0.00000,,37204505475,24261108.93209,0.00065,49530674449,11137816.70873,0.00022,250000,0.00000,0.00000,0.040073163,0.000484470,0.01209,250047,3.60401,0.00001,183,8.03396,0.04388,780,2.46982,0.00316,506207,191.53883,0.00038,256181,246.59287,0.00096,40592,37.43736,0.00092,758,34.16772,0.04502,250194,20.94013,0.00008,51554304,27049.45528,0.00052,249280,4.52278,0.00002,5838,596.35806,0.10214,190,71.49390,0.37549,3,7.14609,1.88055,189,71.90766,0.37966,3,7.14609,1.88055,40617,37.72194,0.00093,759,34.27276,0.04514,208318054,56737.77334,0.00027
50,2.577612223,0.001668077,0.00065,10,9515152,103450.55498,0.01087,4885742,84753.38535,0.01735,4888333,86123.29427,0.01762,1088380,99462.61359,0.09139,4,0.00000,0.00000,0,0.00000,,36957015176,13284498.08783,0.00036,49359589905,3204690.14563,0.00006,200000,0.00000,0.00000,0.032129328,0.000536148,0.01669,200045,1.79196,0.00001,151,6.47731,0.04267,780,1.37032,0.00175,405109,154.17032,0.00038,205021,100.76265,0.00049,51076,1810.52526,0.03545,788,29.26678,0.03714,200202,36.08693,0.00018,45108428,18399.10150,0.00041,199280,6.36047,0.00003,4622,291.27538,0.06301,136,46.25773,0.34013,5,13.94593,2.58258,135,46.30767,0.34251,5,13.94593,2.58258,51118,1811.25382,0.03543,789,29.27646,0.03711,202002432,41771.16786,0.00021
