Delay,Execution_Time_sec,Execution_Time_sec_STDV,Execution_Time_sec_COV,NUM_SAMPLES,L2_TCA,L2_TCA_STDV,L2_TCA_XCOV,L2_TCM,L2_TCM_STDV,L2_TCM_XCOV,L3_TCA,L3_TCA_STDV,L3_TCA_XCOV,L3_TCM,L3_TCM_STDV,L3_TCM_XCOV,OS_Threads,OS_Threads_STDV,OS_Threads_XCOV,STasks,STasks_STDV,STasks_XCOV,TOT_CYC,TOT_CYC_STDV,TOT_CYC_XCOV,TOT_INS,TOT_INS_STDV,TOT_INS_XCOV,Tasks,Tasks_STDV,Tasks_XCOV,Warmup_sec,Warmup_sec_STDV,Warmup_sec_XCOV,cumulative,cumulative_STDV,cumulative_XCOV,idle_rate,idle_rate_STDV,idle_rate_XCOV,objects,objects_STDV,objects_XCOV,pending_accesses,pending_accesses_STDV,pending_accesses_XCOV,pending_misses,pending_misses_STDV,pending_misses_XCOV,phase_duration,phase_duration_STDV,phase_duration_XCOV,phase_overhead,phase_overhead_STDV,phase_overhead_XCOV,phases,phases_STDV,phases_XCOV,resident,resident_STDV,resident_XCOV,stack_recycles,stack_recycles_STDV,stack_recycles_XCOV,stack_unbinds,stack_unbinds_STDV,stack_unbinds_XCOV,stolen_from_pending,stolen_from_pending_STDV,stolen_from_pending_XCOV,stolen_from_staged,stolen_from_staged_STDV,stolen_from_staged_XCOV,stolen_to_pending,stolen_to_pending_STDV,stolen_to_pending_XCOV,stolen_to_staged,stolen_to_staged_STDV,stolen_to_staged_XCOV,task_duration,task_duration_STDV,task_duration_XCOV,task_overhead,task_overhead_STDV,task_overhead_XCOV,virtual,virtual_STDV,virtual_XCOV
1,4.764701420,0.067923952,0.01426,10,536239955,3799612.83285,0.00709,317146878,4053206.24554,0.01278,317161645,4014684.67254,0.01266,101230198,6436164.45477,0.06358,8,0.00000,0.00000,0,0.00000,,123147539701,1818090673.62294,0.01476,80657945559,258282183.29012,0.00320,10000000,0.00000,0.00000,1.521269464,0.015977507,0.01050,9981169,24521.65740,0.00246,3759,65.54125,0.01743,1583,1.07497,0.00068,20164270,49865.26085,0.00247,10314955,59538.31834,0.00577,2373,19.16478,0.00807,1430,44.14735,0.03085,9981636,24500.66703,0.00245,1311517900,374085.38749,0.00029,9979817,24284.89874,0.00243,101291,6630.05494,0.06545,132479,49810.20663,0.37599,24844,16517.00981,0.66483,132504,49776.86931,0.37566,24854,16508.67414,0.66422,2373,19.11631,0.00805,1430,44.14735,0.03085,1502830592,496230.58313,0.00033
2,2.768444242,0.013404854,0.00484,10,263301175,2502524.74286,0.00950,152115809,2535911.20688,0.01667,152118023,2535398.89110,0.01667,43050725,1723066.32309,0.04002,8,0.00000,0.00000,0,0.00000,,71924776820,386263895.41960,0.00537,63497423682,44100269.49878,0.00069,5000000,0.00000,0.00000,0.760839382,0.008952130,0.01177,5000092,4.24788,0.00000,2388,27.90062,0.01168,1583,0.84984,0.00054,10102877,229.63744,0.00002,5141274,10768.31499,0.00209,3356,11.03983,0.00329,1053,16.21693,0.01540,5000543,70.77547,0.00001,668058009,100895.26960,0.00015,4998521,4.59952,0.00000,50890,2158.43165,0.04241,38959,10704.04815,0.27475,9963,5025.05829,0.50433,38958,10704.12123,0.27476,9963,5025.05829,0.50433,3357,10.89342,0.00324,1053,16.27404,0.01545,859570585,331162.71878,0.00039
4,1.964374809,0.008180856,0.00416,10,130343028,825067.29655,0.00633,74096533,903386.74144,0.01219,74100763,901905.08612,0.01217,18775756,1143197.95490,0.06089,8,0.00000,0.00000,0,0.00000,,51597397733,237776702.31252,0.00461,54793704678,19849378.77246,0.00036,2500000,0.00000,0.00000,0.378900917,0.004835171,0.01276,2500092,5.08156,0.00000,1470,22.10581,0.01504,1583,0.67495,0.00043,5052771,181.61302,0.00004,2561299,2400.44004,0.00094,5301,113.50110,0.02141,913,19.85055,0.02173,2500557,41.58325,0.00002,345969868,33278.86220,0.00010,2498521,5.11642,0.00000,25527,1671.89793,0.06549,9110,2353.41265,0.25832,1840,1424.10971,0.77368,9110,2354.03821,0.25840,1840,1424.10971,0.77368,5302,113.50110,0.02141,913,19.76557,0.02163,537578700,12181.34454,0.00002
5,1.823074648,0.006244262,0.00343,10,103865863,538805.27563,0.00519,58595560,623953.32631,0.01065,58597916,624911.24118,0.01066,15398491,766782.42935,0.04980,8,0.00000,0.00000,0,0.00000,,48050305920,134920598.37633,0.00281,53032582508,12265038.38293,0.00023,2000000,0.00000,0.00000,0.305259880,0.003105926,0.01017,2000094,5.29255,0.00000,1264,22.31492,0.01765,1583,0.69921,0.00044,4042840,159.51903,0.00004,2048572,2195.39034,0.00107,6343,11.04788,0.00174,917,18.74863,0.02043,2000559,72.62851,0.00004,281532416,49009.57142,0.00017,1998522,5.92640,0.00000,20685,1055.22299,0.05101,6310,2239.81989,0.35492,891,468.54528,0.52545,6311,2239.63583,0.35488,891,468.54528,0.52545,6344,10.85715,0.00171,918,18.85500,0.02053,473162547,14162.65999,0.00003
8,1.607913638,0.003788166,0.00236,10,65020842,381568.99531,0.00587,36405111,455280.17280,0.01251,36409536,453158.54069,0.01245,9518227,398919.03180,0.04191,8,0.00000,0.00000,0,0.00000,,42661054617,91074865.36912,0.00213,50395822841,8593093.49468,0.00017,1250000,0.00000,0.00000,0.191904636,0.004024730,0.02097,1250093,3.26769,0.00000,893,17.67264,0.01979,1583,1.10050,0.00070,2527753,126.37444,0.00005,1279672,717.77793,0.00056,9329,14.54342,0.00156,914,19.80713,0.02165,1250552,49.41896,0.00004,184848793,28733.69870,0.00016,1248522,4.44222,0.00000,13136,743.10702,0.05657,2480,706.36107,0.28473,243,191.35819,0.78683,2479,704.69395,0.28419,243,191.35819,0.78683,9333,14.38518,0.00154,915,19.60980,0.02143,376081612,42073.53921,0.00011
10,1.536283231,0.002648095,0.00172,10,52210448,234757.72307,0.00450,29012752,234740.12215,0.00809,29017208,234219.61248,0.00807,7490105,271675.25022,0.03627,8,0.00000,0.00000,0,0.00000,,40875441560,69777619.31291,0.00171,49521524440,5249000.48084,0.00011,1000000,0.00000,0.00000,0.153726852,0.002388438,0.01554,1000093,5.21110,0.00001,750,11.54701,0.01540,1582,1.50555,0.00095,2022912,210.51210,0.00010,1024158,720.13875,0.00070,11454,447.36201,0.03906,928,45.67141,0.04917,1000592,33.85607,0.00003,152619417,13543.66623,0.00009,998524,5.63718,0.00001,10716,886.27917,0.08271,1852,676.58213,0.36521,185,219.93120,1.18370,1850,676.64474,0.36573,185,219.93120,1.18370,11459,447.81911,0.03908,929,45.75830,0.04923,344532992,661535.34979,0.00192
20,1.396299063,0.001612909,0.00116,10,26662348,167896.84715,0.00630,14594860,163981.29166,0.01124,14595773,168326.53640,0.01153,3710081,89881.60608,0.02423,8,0.00000,0.00000,0,0.00000,,37416156203,27809091.69688,0.00074,47759116188,6422287.37871,0.00013,500000,0.00000,0.00000,0.076883263,0.001017272,0.01323,500090,3.95671,0.00001,433,11.18729,0.02581,1583,0.78881,0.00050,1012675,128.64771,0.00013,512864,221.75535,0.00043,21264,24.22212,0.00114,963,25.15927,0.02610,500548,47.34460,0.00009,88161075,26548.62493,0.00030,498518,3.89444,0.00001,5241,172.26301,0.03287,752,182.00931,0.24187,85,154.71838,1.82022,752,181.69951,0.24149,85,154.71838,1.82022,21284,23.71146,0.00111,964,25.35175,0.02629,279897702,7015.20969,0.00003
25,1.368273488,0.002343762,0.00171,10,21648647,162571.26619,0.00751,11841662,179198.35140,0.01513,11843194,176454.30758,0.01490,2961066,114707.80519,0.03874,8,0.00000,0.00000,0,0.00000,,36729764364,24722833.86373,0.00067,47402641022,18485055.76926,0.00039,400000,0.00000,0.00000,0.062102420,0.000490381,0.00790,400094,3.02030,0.00001,362,11.89958,0.03284,1583,1.22927,0.00078,810632,193.32874,0.00024,410747,327.36268,0.00080,26023,642.66882,0.02470,978,43.40622,0.04434,400552,41.06648,0.00010,75261542,73276.56361,0.00097,398522,3.77271,0.00001,4076,244.01038,0.05986,677,204.37123,0.30170,26,42.75512,1.64443,677,204.06524,0.30134,26,42.75512,1.64443,26053,643.13870,0.02469,980,43.27689,0.04416,266251878,7589.58332,0.00003
40,1.327472552,0.001851366,0.00139,10,14130180,192618.63389,0.01363,7606716,168707.08204,0.02218,7606774,170326.86720,0.02239,1829665,102981.73270,0.05628,8,0.00000,0.00000,0,0.00000,,35699979960,24199376.03449,0.00068,46876512924,2106697.47623,0.00004,250000,0.00000,0.00000,0.038489353,0.000744131,0.01933,250093,3.49762,0.00001,261,11.55470,0.04424,1582,1.08012,0.00068,507661,159.60789,0.00031,257615,183.92719,0.00071,42006,1903.08252,0.04530,1126,69.98008,0.06210,250546,48.19417,0.00019,55931289,28143.75612,0.00050,248522,4.88080,0.00002,2772,176.88653,0.06381,522,113.78537,0.21798,25,41.84376,1.62816,522,115.02000,0.22018,25,41.84376,1.62816,42085,1908.35377,0.04535,1128,70.13012,0.06213,247231692,9270.20111,0.00004
50,1.314666344,0.001267567,0.00096,10,11638150,83399.67388,0.00717,6271006,63032.43707,0.01005,6272974,58833.00813,0.00938,1442908,64957.85433,0.04502,8,0.00000,0.00000,0,0.00000,,35370977684,15295100.80103,0.00043,46699250688,1697777.69880,0.00004,200000,0.00000,0.00000,0.031433839,0.000655858,0.02086,200091,3.92853,0.00002,229,10.03826,0.04366,1583,1.22927,0.00078,406637,246.66092,0.00061,206491,297.03954,0.00144,51045,35.60041,0.00070,1201,54.33272,0.04522,200528,50.07117,0.00025,49476812,42084.61440,0.00085,198520,5.29570,0.00003,2137,139.04819,0.06504,409,59.16793,0.14438,15,31.97586,2.03668,409,58.97419,0.14391,15,31.97586,2.03668,51160,33.39661,0.00065,1203,54.61217,0.04537,240936140,6121.20215,0.00003
