Delay,Execution_Time_sec,Execution_Time_sec_STDV,Execution_Time_sec_COV,NUM_SAMPLES,L2_TCA,L2_TCA_STDV,L2_TCA_XCOV,L2_TCM,L2_TCM_STDV,L2_TCM_XCOV,L3_TCA,L3_TCA_STDV,L3_TCA_XCOV,L3_TCM,L3_TCM_STDV,L3_TCM_XCOV,OS_Threads,OS_Threads_STDV,OS_Threads_XCOV,STasks,STasks_STDV,STasks_XCOV,TOT_CYC,TOT_CYC_STDV,TOT_CYC_XCOV,TOT_INS,TOT_INS_STDV,TOT_INS_XCOV,Tasks,Tasks_STDV,Tasks_XCOV,Warmup_sec,Warmup_sec_STDV,Warmup_sec_XCOV,cumulative,cumulative_STDV,cumulative_XCOV,idle_rate,idle_rate_STDV,idle_rate_XCOV,objects,objects_STDV,objects_XCOV,pending_accesses,pending_accesses_STDV,pending_accesses_XCOV,pending_misses,pending_misses_STDV,pending_misses_XCOV,phase_duration,phase_duration_STDV,phase_duration_XCOV,phase_overhead,phase_overhead_STDV,phase_overhead_XCOV,phases,phases_STDV,phases_XCOV,resident,resident_STDV,resident_XCOV,stack_recycles,stack_recycles_STDV,stack_recycles_XCOV,stack_unbinds,stack_unbinds_STDV,stack_unbinds_XCOV,stolen_from_pending,stolen_from_pending_STDV,stolen_from_pending_XCOV,stolen_from_staged,stolen_from_staged_STDV,stolen_from_staged_XCOV,stolen_to_pending,stolen_to_pending_STDV,stolen_to_pending_XCOV,stolen_to_staged,stolen_to_staged_STDV,stolen_to_staged_XCOV,task_duration,task_duration_STDV,task_duration_XCOV,task_overhead,task_overhead_STDV,task_overhead_XCOV,virtual,virtual_STDV,virtual_XCOV
1,17.494275317,0.020238114,0.00116,10,301411520,918650.39614,0.00305,117619605,1372236.10236,0.01167,117619753,1372243.36628,0.01167,5431587,106714.22439,0.01965,1,0.00000,0.00000,0,0.00000,,64388182394,74352030.43505,0.00115,83281978543,103271341.79050,0.00124,10000000,0.00000,0.00000,1.479116391,0.004754641,0.00321,10000020,0.00000,0.00000,2740,7.68548,0.00280,130,0.00000,0.00000,20200051,0.00000,0.00000,10200012,0.00000,0.00000,1265,1.59513,0.00126,477,1.81353,0.00380,10000027,0.00000,0.00000,1305267814,7339.85727,0.00001,9999902,0.00000,0.00000,1100006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,1265,1.59513,0.00126,477,1.81353,0.00380,1435719270,7015.20969,0.00000
2,13.770690487,0.013548734,0.00098,10,151451551,581538.45980,0.00384,58804218,382153.66317,0.00650,58804365,382157.20004,0.00650,2681698,48358.49137,0.01803,1,0.00000,0.00000,0,0.00000,,51241009396,107874217.53421,0.00211,67360544588,136494121.83653,0.00203,5000000,0.00000,0.00000,0.740467183,0.002498346,0.00337,5000020,0.00000,0.00000,1747,7.61285,0.00436,130,0.00000,0.00000,10100051,0.00000,0.00000,5100012,0.00000,0.00000,2289,80.99966,0.03538,484,17.48682,0.03608,5000027,0.00000,0.00000,660720025,6461.93674,0.00001,4999902,0.00000,0.00000,550006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,2289,80.99966,0.03538,484,17.48682,0.03608,791528243,5035.10055,0.00001
4,11.902154721,0.006498964,0.00055,10,76393803,278997.16744,0.00365,29742319,210768.48278,0.00709,29742474,210770.11310,0.00709,1375809,27014.10138,0.01964,1,0.00000,0.00000,0,0.00000,,44687730842,24525741.30563,0.00055,59446395460,6388356.87842,0.00011,2500000,0.00000,0.00000,0.370435787,0.001434342,0.00387,2500020,0.00000,0.00000,1014,4.55705,0.00449,130,0.00000,0.00000,5050051,0.00000,0.00000,2550012,0.00000,0.00000,4310,149.84080,0.03476,486,16.44655,0.03380,2500027,0.00000,0.00000,338457804,8858.89881,0.00003,2499902,0.00000,0.00000,275006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,4310,149.84080,0.03476,486,16.44655,0.03380,469431091,7428.21643,0.00002
5,11.524087422,0.007227303,0.00063,10,61054123,188252.30415,0.00308,23817056,201123.03545,0.00844,23817207,201116.16980,0.00844,1102703,21900.08889,0.01986,1,0.00000,0.00000,0,0.00000,,43337743110,56236898.58809,0.00130,57832409908,66386738.36308,0.00115,2000000,0.00000,0.00000,0.296984369,0.001287271,0.00433,2000020,0.00000,0.00000,835,5.01221,0.00600,130,0.00000,0.00000,4040051,0.00000,0.00000,2040012,0.00000,0.00000,5314,171.60471,0.03229,484,16.61191,0.03427,2000027,0.00000,0.00000,274002329,7831.35015,0.00003,1999902,0.00000,0.00000,220006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,5314,171.60471,0.03229,484,16.61191,0.03427,405010432,7783.59757,0.00002
8,10.951952332,0.004599685,0.00042,10,38599919,114802.27812,0.00297,15076633,160221.12272,0.01063,15076775,160223.43690,0.01063,689321,7250.86941,0.01052,1,0.00000,0.00000,0,0.00000,,41329144540,24198995.35297,0.00059,55411346468,22165457.54901,0.00040,1250000,0.00000,0.00000,0.185470225,0.000556103,0.00300,1250020,0.00000,0.00000,550,4.14193,0.00753,130,0.00000,0.00000,2525051,0.00000,0.00000,1275012,0.00000,0.00000,8250,6.29727,0.00076,480,3.56526,0.00742,1250027,0.00000,0.00000,177313382,5529.17858,0.00003,1249902,0.00000,0.00000,137506,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,8250,6.35610,0.00077,480,3.56526,0.00742,307923763,1978.55597,0.00001
10,10.757985304,0.004003677,0.00037,10,31021777,117570.87604,0.00379,12146784,71429.76686,0.00588,12146928,71431.81278,0.00588,563941,12896.13093,0.02287,1,0.00000,0.00000,0,0.00000,,40647084386,14047110.63762,0.00035,54581792332,2283087.60351,0.00004,1000000,0.00000,0.00000,0.148594006,0.000398253,0.00268,1000020,0.00000,0.00000,449,3.46570,0.00771,130,0.00000,0.00000,2020051,0.00000,0.00000,1020012,0.00000,0.00000,10350,368.41958,0.03559,487,17.06328,0.03501,1000027,0.00000,0.00000,145089331,6632.76629,0.00005,999902,0.00000,0.00000,110006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,10350,368.41958,0.03559,487,17.06328,0.03501,276173619,5727.89472,0.00002
20,10.382972676,0.001134321,0.00011,10,15909596,54968.40650,0.00346,6248122,80581.95779,0.01290,6248267,80585.21623,0.01290,294434,6662.74487,0.02263,1,0.00000,0.00000,0,0.00000,,39325806872,4924364.63767,0.00013,52988744743,2527514.19739,0.00005,500000,0.00000,0.00000,0.074747038,0.000183411,0.00245,500020,0.00000,0.00000,234,0.87560,0.00374,130,0.00000,0.00000,1010051,0.00000,0.00000,510012,0.00000,0.00000,20200,29.60030,0.00147,485,2.30940,0.00476,500027,0.00000,0.00000,80643276,8203.36989,0.00010,499902,0.00000,0.00000,55006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,20200,29.58622,0.00146,485,2.30940,0.00476,211754188,8372.06547,0.00004
25,10.306289187,0.002348053,0.00023,10,12848399,27180.99310,0.00212,5048482,60547.57269,0.01199,5048629,60546.92962,0.01199,239263,5309.75656,0.02219,1,0.00000,0.00000,0,0.00000,,38980537499,228246595.59353,0.00586,52567847444,309863644.94928,0.00589,400000,0.00000,0.00000,0.059902277,0.000308832,0.00516,400020,0.00000,0.00000,188,1.77951,0.00944,130,0.00000,0.00000,808051,0.00000,0.00000,408012,0.00000,0.00000,25475,915.82327,0.03595,490,18.60705,0.03797,400027,0.00000,0.00000,67740467,9015.33642,0.00013,399902,0.00000,0.00000,44006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,25475,915.64615,0.03594,490,18.60705,0.03797,198110003,7490.69201,0.00004
40,10.194039212,0.000916524,0.00009,10,8255556,28173.45295,0.00341,3221675,55196.56135,0.01713,3221818,55192.43951,0.01713,147608,3551.19654,0.02406,1,0.00000,0.00000,0,0.00000,,38638670050,54701050.20728,0.00142,52164022750,74192644.61309,0.00142,250000,0.00000,0.00000,0.037536736,0.000207394,0.00553,250020,0.00000,0.00000,119,0.94868,0.00795,130,0.00000,0.00000,505051,0.00000,0.00000,255012,0.00000,0.00000,40133,40.15097,0.00100,487,3.33333,0.00684,250027,0.00000,0.00000,48399564,3372.12458,0.00007,249902,0.00000,0.00000,27506,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,40134,40.11941,0.00100,487,3.33333,0.00684,179079168,2158.78155,0.00001
50,10.154919301,0.000921138,0.00009,10,6666731,24814.47146,0.00372,2604195,65738.89935,0.02524,2604365,65725.71426,0.02524,112397,1999.13887,0.01779,1,0.00000,0.00000,0,0.00000,,38512466397,21744792.74780,0.00056,52013857529,30229515.42788,0.00058,200000,0.00000,0.00000,0.030099461,0.000170920,0.00568,200020,0.00000,0.00000,96,0.94281,0.00982,130,0.00000,0.00000,404051,0.00000,0.00000,204012,0.00000,0.00000,51135,2192.52789,0.04288,497,22.68235,0.04558,200027,0.00000,0.00000,41955737,6533.65855,0.00016,199902,0.00000,0.00000,22006,0.00000,0.00000,0,0.00000,,0,0.00000,,0,0.00000,,0,0.00000,,51137,2192.58167,0.04288,497,22.68235,0.04558,172782796,8645.91337,0.00005
